Age,Annual_Income,Loan_Amount,Existing_Debts,Credit_Utilization,Payment_History,Credit_History_Length,Savings_Balance,EMI_Amount,Debt_to_Income_Ratio,Creditworthy
50,1143831,210786,94369,69,93,22,767906,8419,8.25,0
43,235709,591486,75569,73,51,5,788229,21410,32.06,0
39,1177643,379095,316096,71,59,22,874661,6956,26.84,0
52,1181652,969156,451281,53,61,13,92102,15625,38.19,0
50,429167,486841,34169,54,95,24,856953,24753,7.96,0
49,505063,308466,16829,62,67,8,821243,8322,3.33,0
49,1069953,529198,453351,57,68,15,829837,3614,42.37,0
50,686121,593028,4522,95,87,19,979661,49233,0.66,0
36,1200904,315954,347831,61,86,9,268226,45291,28.96,0
39,419222,960175,428535,90,76,6,331967,26539,102.22,0
38,913806,984073,382478,22,97,23,29856,4271,41.86,0
21,907788,308308,419759,20,63,25,387356,10029,46.24,0
34,1165398,149855,118576,6,94,14,889334,6678,10.17,1
22,1198653,784480,496336,17,83,29,130347,20572,41.41,0
48,992879,863215,379563,49,51,23,450186,48989,38.23,0
50,332371,171701,161545,84,93,10,241746,30095,48.6,0
58,582650,542281,269843,76,82,9,642068,16571,46.31,0
24,1222509,390191,68165,47,68,17,978291,44162,5.58,0
21,860354,845903,433671,76,76,13,249291,20718,50.41,0
28,950774,160771,75692,58,97,17,86174,16866,7.96,0
49,1460811,56163,17441,78,79,19,882784,3198,1.19,0
59,982119,898503,30716,35,56,13,656443,10407,3.13,0
23,1124993,66065,62175,80,76,9,817030,10072,5.53,0
52,553791,434467,6834,13,70,1,576829,18138,1.23,0
30,1063787,815550,261609,77,56,1,938156,6217,24.59,0
30,316220,954401,18179,52,97,5,944467,32260,5.75,0
39,421421,395600,288363,22,74,8,648335,42660,68.43,0
54,549317,547721,103153,98,87,18,566511,11411,18.78,0
53,988428,298924,146854,91,67,4,565312,34138,14.86,0
43,1030819,753708,474579,15,82,22,132538,35500,46.04,0
48,1232469,855586,253975,66,82,1,538229,49282,20.61,0
52,1251665,942135,74967,88,81,15,346067,6259,5.99,0
27,1085259,594517,364598,23,74,20,346204,30584,33.6,0
49,820253,364731,9496,94,63,4,373539,15116,1.16,0
28,805556,824758,219939,78,87,25,506238,23783,27.3,0
21,547186,361857,170310,28,87,9,51617,42949,31.12,1
23,1450374,732357,46025,17,53,22,625103,22155,3.17,0
44,437103,595389,260281,50,93,24,326848,33389,59.55,0
43,889925,614679,322030,57,67,28,36025,34183,36.19,0
28,289242,256935,416779,33,59,26,617460,32048,144.09,0
57,1247146,122723,265856,40,84,20,903451,33121,21.32,1
23,1402532,276293,356211,75,84,10,839656,28541,25.4,0
53,784326,240477,307633,98,89,24,23277,37105,39.22,0
48,1096068,216020,32664,21,72,15,976222,22642,2.98,0
28,960330,936696,241871,52,74,3,313139,41795,25.19,0
54,1035726,350065,143492,81,50,2,510487,38825,13.85,0
55,933375,515787,447826,28,67,22,386859,40735,47.98,0
52,365250,520223,267459,58,64,5,935043,35388,73.23,0
44,722820,864892,464133,99,74,24,829285,29920,64.21,0
34,462678,561174,337177,95,81,1,167883,41761,72.88,0
52,1022564,464287,225648,89,69,11,888896,32027,22.07,0
36,498254,771478,117862,5,66,12,541197,31480,23.66,0
24,1050012,229354,491127,83,60,26,103605,8386,46.77,0
57,246233,666013,79030,71,62,3,794463,38661,32.1,0
41,1446356,370589,63910,10,74,23,718793,22480,4.42,0
34,651448,786427,228360,82,69,29,318228,38624,35.05,0
51,948810,394352,454188,59,74,16,768317,4655,47.87,0
38,1203941,498032,383219,42,91,26,738929,25868,31.83,0
27,306311,418427,221965,37,94,14,460032,32129,72.46,0
30,696246,135779,318063,12,98,12,151820,17463,45.68,0
27,229709,53060,475702,94,80,20,253301,31080,207.09,0
53,1248939,700094,212360,83,50,26,867034,46192,17.0,0
43,694829,325875,496142,82,65,16,203537,5308,71.4,0
41,596456,389974,397348,24,97,21,124200,19246,66.62,0
39,245689,690159,389297,59,77,8,583696,34386,158.45,0
39,1098704,595007,41598,52,70,17,546286,12470,3.79,0
56,375037,623404,487028,87,79,17,154836,49260,129.86,0
49,408606,564583,498515,60,52,28,371895,41882,122.0,0
38,1249458,600613,413767,92,83,7,186451,13188,33.12,0
22,979110,990101,485727,14,55,15,746754,11669,49.61,0
21,1374441,64551,330350,56,92,29,507220,12443,24.04,0
25,1229516,405431,337044,54,78,28,724948,20629,27.41,0
40,228885,336422,26296,38,52,9,915719,27954,11.49,0
31,596419,534405,483432,40,82,4,898079,8235,81.06,0
22,915601,65141,149138,65,60,8,747973,10914,16.29,0
23,595460,380057,159964,20,94,10,203470,43849,26.86,1
43,560466,870047,75577,83,54,15,974714,29547,13.48,0
32,1232833,696346,205662,22,99,23,840992,49435,16.68,1
40,221584,768111,77173,75,81,18,645004,12593,34.83,0
25,1019973,686972,469509,51,96,14,133362,41928,46.03,0
57,753351,339596,64771,90,67,5,603489,28885,8.6,0
58,1318844,465941,420700,36,96,9,922387,10291,31.9,1
50,980594,624679,340009,47,69,13,118894,45978,34.67,0
29,1419211,694576,99074,87,88,29,551022,5132,6.98,0
54,370824,780420,420331,44,98,25,477592,32683,113.35,0
55,950593,163535,157110,69,89,19,742958,1844,16.53,0
42,800699,192770,36622,39,77,11,475796,32869,4.57,1
44,1358452,289947,298030,73,62,12,133107,32516,21.94,0
37,1446729,660999,444500,54,75,3,929567,35411,30.72,0
30,884500,914282,140973,16,65,2,32313,35031,15.94,0
50,864687,946165,318521,80,74,23,919736,36702,36.84,0
43,1188167,314509,82910,89,59,22,430303,23523,6.98,0
52,223331,802913,180934,62,78,15,448995,40942,81.02,0
37,223004,934094,381136,87,95,5,443397,33983,170.91,0
37,1487017,617660,163878,67,87,7,159277,5776,11.02,0
34,1105675,618422,148731,77,69,4,260649,19724,13.45,0
29,648013,874255,154525,53,75,5,546752,15100,23.85,0
22,389167,645446,423714,40,81,25,381230,43467,108.88,0
45,1131253,932508,463609,58,88,16,561420,34884,40.98,0
59,482260,811447,278456,51,87,15,60737,41518,57.74,0
29,742955,183021,263580,36,98,27,249246,47348,35.48,1
42,1275878,623684,289713,99,73,16,506179,14932,22.71,0
24,1410583,420480,452029,57,80,25,634872,44700,32.05,0
46,796822,81912,116787,36,89,4,210357,22718,14.66,1
49,1411272,106947,90485,66,61,6,467765,47014,6.41,0
54,1262016,563676,466445,41,85,18,45306,20640,36.96,0
43,573145,540913,177058,42,59,3,559880,43108,30.89,0
57,594485,94387,364699,34,55,25,387275,20560,61.35,0
31,994300,328652,184249,62,56,22,225059,7380,18.53,0
26,885611,357736,402521,36,80,24,234866,48756,45.45,0
38,540053,683537,32646,70,76,27,54758,29829,6.04,0
41,894089,51919,486054,55,57,5,267579,49601,54.36,0
56,740022,879027,76126,15,52,2,264062,30579,10.29,0
58,1420985,190689,117922,63,89,23,766198,31200,8.3,0
54,545744,518484,255217,24,96,16,894824,20729,46.76,0
37,707173,83298,302574,41,70,6,914510,29537,42.79,0
57,864471,287225,384382,77,50,27,540865,43100,44.46,0
45,1460231,974433,68659,53,94,15,257701,25125,4.7,0
58,632184,283725,115341,23,99,18,619518,6655,18.24,1
32,1409725,326600,4158,59,64,6,673623,3448,0.29,0
43,439654,159599,74236,44,56,13,879173,15185,16.89,0
42,627991,923108,76067,11,64,24,804504,18211,12.11,0
41,1437792,133721,158810,9,74,13,595102,23280,11.05,0
47,1425745,874356,9879,46,52,1,256575,34971,0.69,0
51,1010935,860672,136615,92,79,16,264355,40387,13.51,0
26,858139,399525,112284,52,63,4,912818,7798,13.08,0
47,1073272,321372,178996,11,53,17,972810,18228,16.68,0
54,1380403,858118,435564,15,85,18,512628,36739,31.55,1
32,501407,586208,346261,77,52,16,508882,35036,69.06,0
27,517231,581720,429895,53,54,1,380682,49720,83.11,0
30,775770,506791,210190,34,74,6,671051,30309,27.09,0
37,322989,684795,43888,45,80,11,143025,5744,13.59,0
46,1026547,442653,292420,7,60,6,604787,41503,28.49,0
41,476393,383869,496755,90,57,17,509272,15548,104.27,0
48,1164329,798935,4799,44,75,4,103405,43589,0.41,0
22,834649,739270,483843,55,51,14,791942,4530,57.97,0
21,499850,696052,224842,88,77,14,873413,38853,44.98,0
56,241139,211298,374673,36,97,20,965263,9995,155.38,0
46,839207,254222,386857,52,59,8,161257,25703,46.1,0
49,971965,371243,90141,75,99,22,44699,26527,9.27,0
41,503446,162557,453774,75,88,2,125799,36032,90.13,0
31,1474332,923192,377157,24,86,5,895608,32430,25.58,1
31,1185663,592301,429750,93,88,4,869922,1019,36.25,0
56,864006,595734,293812,39,70,10,850171,46730,34.01,0
59,1245716,941641,135183,28,77,20,589919,24241,10.85,1
55,1064785,546409,417902,44,87,28,945449,8296,39.25,0
54,1037860,775735,203623,81,82,24,179366,17333,19.62,0
44,257939,676549,334536,56,60,21,547208,42516,129.7,0
42,223548,932171,16490,43,94,3,760880,19628,7.38,0
25,656437,312701,428410,72,93,16,718969,20367,65.26,0
53,633917,998170,407713,65,50,10,343240,12755,64.32,0
56,644503,742749,250138,80,96,28,221997,36493,38.81,0
40,337799,753060,446732,85,82,15,596646,22750,132.25,0
39,965820,180878,117219,69,52,4,951769,14025,12.14,0
55,381789,673431,481946,66,75,1,248461,5887,126.23,0
37,625643,598866,44104,85,64,22,225676,14658,7.05,0
54,634352,649067,5316,6,90,27,150510,6226,0.84,1
29,1002009,714956,38130,10,63,29,125434,36596,3.81,0
46,311776,893932,463445,79,72,15,605067,46799,148.65,0
22,1085678,646822,369438,47,57,10,431845,4988,34.03,0
29,982119,846561,292098,86,85,20,770490,22663,29.74,0
29,713624,506610,375581,44,69,22,465658,19853,52.63,0
37,412803,247118,414868,93,55,18,407301,19014,100.5,0
21,358761,848028,145250,43,82,16,769781,15239,40.49,0
45,697873,639643,182235,32,77,21,617214,37046,26.11,1
45,557092,587262,407967,84,99,27,427729,19422,73.23,0
59,221341,247745,459177,67,87,9,856516,22816,207.45,0
55,559698,948436,396260,68,79,24,620518,28055,70.8,0
23,1454329,301366,63165,16,95,19,335749,7470,4.34,1
57,508474,438938,404696,45,92,17,858098,24461,79.59,0
50,973429,536649,196511,33,66,10,510602,46534,20.19,0
58,923776,906634,437090,27,58,19,118987,5761,47.32,0
54,1019745,124442,235605,89,77,8,614708,22603,23.1,0
32,509044,727178,66775,84,56,27,864844,35155,13.12,0
39,278840,629886,399782,55,95,19,791943,48914,143.37,0
57,1414343,183726,347455,49,77,5,323322,22996,24.57,0
37,361297,608046,495733,94,66,2,81092,40978,137.21,0
30,1072504,860636,53149,26,89,15,489243,34342,4.96,1
32,249156,177309,396222,14,97,17,48009,10913,159.03,0
36,408281,740288,334705,11,93,27,386354,42978,81.98,0
44,287453,563644,412639,77,93,10,598264,41564,143.55,0
39,1198412,234681,498078,93,54,21,922634,30999,41.56,0
28,225938,604840,90710,19,54,21,254290,32748,40.15,0
51,259164,453552,92199,81,63,22,697585,33331,35.58,0
41,647746,359181,165024,50,55,2,441653,45380,25.48,0
37,923559,197278,27326,94,56,9,80935,35224,2.96,0
43,784570,609119,379416,89,66,2,903669,35363,48.36,0
57,602681,93563,31139,91,58,18,679008,25692,5.17,0
36,1364395,68361,193175,65,80,12,783056,8986,14.16,0
26,681873,877767,191929,96,71,15,970440,14146,28.15,0
28,341900,124469,335782,65,94,21,967767,43810,98.21,0
45,997653,570581,334796,55,58,25,58373,34599,33.56,0
38,604427,560571,12937,42,65,20,456030,22352,2.14,0
45,737857,600104,258006,16,85,6,206209,11973,34.97,1
32,1476542,831710,292305,92,83,18,490556,19501,19.8,0
35,237860,720979,397599,81,94,13,923112,21866,167.16,0
46,402630,284295,348000,70,62,4,843404,19390,86.43,0
46,868875,666767,332187,58,68,12,169219,44531,38.23,0
52,795983,76819,145807,43,61,9,29295,42256,18.32,0
30,453078,979245,59919,80,85,2,803329,40528,13.22,0
36,966887,434474,488465,43,59,16,742172,42678,50.52,0
27,568893,58798,344199,82,65,1,703613,28712,60.5,0
37,1204731,730503,460777,34,77,4,802270,6694,38.25,1
43,1404552,886127,347599,52,68,15,223765,20463,24.75,0
46,915295,475963,430838,87,89,20,733040,22662,47.07,0
41,1192652,818230,300279,35,55,1,89942,1010,25.18,0
42,1254212,804547,166730,29,53,20,510704,38648,13.29,0
27,461578,703832,346821,72,79,15,298558,28515,75.14,0
34,483816,726542,291840,55,88,3,966252,11846,60.32,0
35,1476269,303800,134845,17,80,13,857589,48258,9.13,1
27,721393,583703,24956,67,95,18,516212,47285,3.46,0
29,1249230,978589,277963,46,76,13,39483,29026,22.25,0
28,778921,458224,263672,58,94,10,516399,17982,33.85,0
43,1265719,661926,389925,71,70,20,939017,18207,30.81,0
49,780222,592740,86491,84,86,24,720909,44357,11.09,0
38,827751,507291,44588,94,58,7,448018,38985,5.39,0
51,325851,451336,201657,60,84,25,791493,40854,61.89,0
50,753375,769745,99152,23,91,8,691811,13306,13.16,1
59,866978,684493,127872,50,96,1,313053,1312,14.75,0
55,994878,68170,413727,19,70,28,844523,44934,41.59,0
38,511011,66259,272263,36,66,18,324533,7671,53.28,0
59,644244,334243,338037,53,73,12,706323,24084,52.47,0
37,358272,190721,16167,25,80,18,982238,45698,4.51,1
34,426179,179394,187575,69,55,28,229280,36260,44.01,0
51,1074506,371402,110782,74,84,24,509876,43905,10.31,0
44,1466084,222109,481005,31,99,12,350311,17614,32.81,1
55,550036,323949,130775,27,86,20,75509,11864,23.78,1
54,1468207,559212,34889,51,62,9,503417,49114,2.38,0
23,582188,304599,307822,99,74,2,662392,16224,52.87,0
57,239148,93147,226406,16,81,14,304435,48462,94.67,0
46,1400346,124280,60262,89,50,4,162889,45414,4.3,0
43,635686,227125,135753,70,98,29,349112,45543,21.36,0
59,685287,418921,80291,9,84,29,618775,1043,11.72,1
35,495901,672129,66008,13,68,15,271021,41300,13.31,0
24,278012,534609,247547,24,61,17,785765,25476,89.04,0
49,1113475,699014,229489,86,89,19,906435,28500,20.61,0
42,1187751,440503,406906,67,89,6,143631,29269,34.26,0
45,256116,126215,288056,90,96,9,811176,20841,112.47,0
33,344233,687197,268617,76,92,27,434371,39152,78.03,0
38,1280728,407509,172370,77,69,17,248906,31931,13.46,0
53,306379,323129,411885,75,82,15,817453,6615,134.44,0
36,1475481,324535,361644,34,78,5,878964,28961,24.51,1
22,1269412,579149,475214,86,65,28,66898,33513,37.44,0
55,421439,311968,414159,95,63,18,613011,22890,98.27,0
54,1435296,757288,300929,20,56,23,716396,27870,20.97,0
50,1405979,346508,100956,89,55,4,325320,36763,7.18,0
33,1390411,394543,194499,9,70,21,373582,46876,13.99,0
33,1055876,540251,193073,33,85,24,592687,48175,18.29,1
38,817397,823360,192796,51,71,2,683366,45327,23.59,0
52,1398835,564060,381150,26,89,19,485127,44302,27.25,1
52,1391605,274402,272976,82,68,27,586722,25746,19.62,0
55,597595,617211,398601,61,74,5,498910,38109,66.7,0
59,806306,975423,489114,87,52,26,389442,30836,60.66,0
49,520057,236968,145780,39,85,4,123214,10831,28.03,1
49,726925,551854,451816,92,94,5,336735,34384,62.15,0
36,665994,397962,416654,64,83,19,668429,34007,62.56,0
30,1028457,740200,344891,74,60,13,16486,39820,33.53,0
50,956547,747615,342251,64,97,16,206461,40222,35.78,0
45,561652,383304,191134,62,91,12,962932,30069,34.03,0
59,806752,178165,327572,7,96,9,38800,43816,40.6,0
40,736119,280314,348987,38,76,24,887586,42882,47.41,0
25,313768,451392,11002,49,91,16,702580,18196,3.51,0
21,971271,345673,429369,54,51,14,658610,5999,44.21,0
50,1077311,499622,415656,6,55,22,721614,25026,38.58,0
23,1112969,718301,329645,19,95,1,284013,2730,29.62,1
34,1164266,575957,32556,41,51,20,931680,4424,2.8,0
50,829112,791142,67963,19,91,23,570742,39830,8.2,1
24,1216462,953805,494361,64,66,26,495232,30716,40.64,0
38,1337317,357003,483941,89,89,21,397737,32226,36.19,0
57,1267406,630074,221746,68,97,4,342917,3207,17.5,0
45,1060380,756443,6563,85,63,9,953957,14031,0.62,0
21,269202,594611,210995,56,59,24,328957,29008,78.38,0
35,499189,280502,267984,27,94,19,76326,30484,53.68,0
29,417394,831537,15154,41,82,14,581883,47635,3.63,0
35,1450699,580309,24194,45,91,22,515706,4368,1.67,0
44,357699,570766,196092,61,61,12,837616,22855,54.82,0
24,477342,351951,177933,29,81,28,455402,3227,37.28,1
32,1055953,440449,153520,41,98,4,876722,49522,14.54,0
57,704655,362499,489676,44,73,7,481819,31322,69.49,0
57,436824,545655,285672,89,63,17,268184,44220,65.4,0
26,1267979,687703,422618,50,54,1,681969,13817,33.33,0
59,1252257,320855,266496,64,54,14,130036,47474,21.28,0
44,553699,506295,262328,23,96,15,524370,48130,47.38,0
31,1248072,57904,403600,95,81,12,488315,14226,32.34,0
33,829674,638321,276463,13,94,12,84539,44877,33.32,1
54,598845,805947,120497,73,98,6,561356,45480,20.12,0
45,293246,922910,151521,9,82,26,56996,32157,51.67,0
27,1344440,170035,318477,93,95,27,988950,21764,23.69,0
24,408886,795147,303349,30,53,29,735119,19204,74.19,0
28,470561,236168,10426,23,79,13,99440,1188,2.22,1
40,1414413,271666,269648,34,90,16,177906,31397,19.06,1
49,1060931,806141,449794,52,66,14,686106,10414,42.4,0
30,1493736,315237,189281,20,52,7,893372,38989,12.67,0
54,387646,337062,116775,75,62,29,293551,42438,30.12,0
46,1220332,243708,33368,22,93,25,489445,7746,2.73,1
23,983566,764166,499324,60,97,16,370694,15331,50.77,0
26,1014107,190466,242625,25,85,23,359801,12254,23.92,1
25,735620,174501,103841,35,67,9,519522,11217,14.12,0
25,979105,834516,445401,5,72,26,36403,16583,45.49,0
43,1005609,666798,490846,7,84,14,283781,38380,48.81,0
29,1116992,143708,378888,99,98,25,673972,35318,33.92,0
55,420326,672107,211293,29,82,24,171482,16800,50.27,0
40,923807,285603,256083,12,85,7,932664,31212,27.72,1
55,519248,980784,8724,69,66,12,70108,48333,1.68,0
38,546479,610591,398300,66,88,3,240747,28492,72.88,0
37,1329306,601741,165882,11,83,27,410944,33592,12.48,1
44,1486050,564908,475493,11,61,14,210846,6233,32.0,0
23,490477,945318,344441,12,54,19,233372,23019,70.23,0
52,483817,897127,387243,23,97,11,782660,12447,80.04,0
55,1100853,773809,78872,21,89,5,860026,15036,7.16,1
58,453017,573526,414088,15,76,23,290608,11998,91.41,0
33,851824,206837,472166,53,89,13,959447,33801,55.43,0
45,533245,445556,70333,15,62,28,827270,25871,13.19,0
29,1009253,569676,199915,45,75,10,540207,28076,19.81,0
24,1274070,797075,229176,66,63,7,964596,45739,17.99,0
34,574842,612345,2596,56,81,17,804229,29152,0.45,0
57,573704,968101,279311,70,60,16,192959,2429,48.69,0
54,1242630,763348,87844,72,87,8,98003,11381,7.07,0
31,480790,668943,248139,96,65,17,361416,2987,51.61,0
23,323777,327169,89751,79,71,13,477773,30319,27.72,0
48,1055783,319289,129817,71,96,11,406274,23655,12.3,0
49,1101366,675494,470547,44,65,20,871009,20266,42.72,0
29,333501,236869,80520,9,62,18,637926,49028,24.14,0
23,784942,878155,58326,89,61,5,397804,44737,7.43,0
45,569566,647518,77670,26,67,6,994193,12889,13.64,0
54,319975,972334,141854,41,78,20,244316,49477,44.33,0
32,923503,729290,173074,15,67,14,909343,2547,18.74,0
29,1326103,466968,218259,48,95,12,611845,45275,16.46,0
35,548848,158138,24022,90,51,29,823690,34281,4.38,0
45,366991,781385,84458,57,51,4,649378,46056,23.01,0
25,296952,786664,407834,81,52,7,684719,14550,137.34,0
31,533260,112040,148317,65,78,11,101714,6174,27.81,0
54,665806,682956,83796,71,57,20,547202,37334,12.59,0
44,1076058,773056,403243,17,60,2,672896,21187,37.47,0
35,246015,554788,407202,96,61,4,720431,4938,165.52,0
58,302877,507864,110704,15,81,7,655736,2471,36.55,1
28,593922,891462,396742,15,53,1,43748,17721,66.8,0
25,871088,106815,222869,89,58,15,835880,8051,25.59,0
46,1124501,266741,306505,89,73,20,842564,8444,27.26,0
38,915768,162789,460374,11,98,22,86022,28657,50.27,0
26,1175601,478906,300430,21,65,24,405600,37180,25.56,0
57,591670,793766,29533,52,66,8,971816,30799,4.99,0
33,631739,894355,232033,18,96,29,379438,3392,36.73,1
48,811796,217644,149388,67,71,25,86323,16729,18.4,0
25,939127,235102,139771,68,56,5,437350,34744,14.88,0
33,240633,380048,210563,79,59,14,635530,44205,87.5,0
37,1457302,818821,127441,81,78,18,486398,30709,8.74,0
52,1251893,287469,359223,69,85,3,918779,37836,28.69,0
49,507124,807596,100960,38,73,2,70120,10895,19.91,0
23,1030547,734563,58465,13,95,25,70592,18255,5.67,1
54,911323,127088,147745,81,63,22,999227,4409,16.21,0
47,923953,579896,285539,41,63,16,739391,13744,30.9,0
33,619876,619955,104162,34,74,14,544173,2549,16.8,0
53,1126109,629835,130704,45,95,16,421916,16085,11.61,0
26,1460945,989989,154779,49,71,11,418234,45467,10.59,0
44,908669,550812,477965,51,99,28,139006,21845,52.6,0
39,227043,977366,75937,11,96,17,105964,15736,33.45,1
36,233635,964823,129647,18,72,3,722421,36389,55.49,0
48,410387,284907,120650,52,81,23,172394,3529,29.4,0
53,1329267,912380,392888,10,75,23,60073,44117,29.56,1
33,699730,908312,217804,38,76,5,344794,48509,31.13,1
45,1206891,107560,187488,84,94,3,999614,27932,15.53,0
56,1342520,951495,353656,50,61,29,821428,9351,26.34,0
47,927467,264601,139830,63,68,15,102290,44062,15.08,0
58,655796,930650,67009,74,68,23,507049,12000,10.22,0
27,1101699,426606,406497,12,83,5,472561,43959,36.9,1
25,1197057,733775,259188,28,81,22,449520,40167,21.65,1
51,1287812,986827,245340,71,78,3,879518,36349,19.05,0
43,1005855,234286,32548,8,70,6,694609,23949,3.24,0
30,754280,330141,18371,5,84,23,262028,28569,2.44,1
52,1211942,171266,487115,38,91,14,752309,47694,40.19,0
50,315140,53679,470809,13,54,24,136379,20318,149.4,0
59,375993,538241,368121,67,61,2,519364,19695,97.91,0
51,1053349,614596,150716,80,56,18,735583,16168,14.31,0
38,410047,256096,224731,14,90,6,244733,38096,54.81,0
56,486100,745202,154946,14,51,24,424339,40591,31.88,0
22,263879,497154,481875,54,74,5,305239,21712,182.61,0
34,782848,579983,14281,48,59,14,102971,20500,1.82,0
33,1238939,276812,462003,52,87,17,883590,4747,37.29,0
49,572454,632787,415505,91,93,11,872253,24208,72.58,0
32,924045,73382,251060,10,55,1,511843,35227,27.17,0
59,1142164,850667,398270,92,76,10,987689,5430,34.87,0
22,1245533,767583,100020,28,84,9,624751,19835,8.03,1
52,1485844,707726,107508,89,59,20,523036,41099,7.24,0
33,679280,208539,66846,99,58,12,719244,29927,9.84,0
47,987600,502532,356826,62,69,26,259668,44948,36.13,0
37,507268,424612,442985,68,86,1,15291,9963,87.33,0
51,870392,56764,291456,98,84,27,444409,22425,33.49,0
54,1399399,796256,489733,60,86,24,648132,18495,35.0,0
44,754661,688119,376330,86,89,18,799554,45271,49.87,0
55,322026,111836,266401,16,57,12,539164,13598,82.73,0
26,1278846,344067,409062,39,95,2,253082,10786,31.99,1
39,1127890,305033,415699,75,80,1,477876,11921,36.86,0
50,1481507,932143,26558,93,98,1,67147,43241,1.79,0
27,1313760,66292,43188,10,92,25,142895,31253,3.29,1
30,707532,961345,144084,69,65,29,849084,20969,20.36,0
52,935053,969118,33236,84,77,1,636665,24985,3.55,0
54,762167,333083,497425,64,55,22,922657,48232,65.26,0
48,1222560,293772,45076,72,81,12,723564,12020,3.69,0
35,511741,68800,310546,33,77,7,453598,36141,60.68,0
50,1156636,106440,356611,42,60,4,413603,30461,30.83,0
57,203626,466462,163148,96,91,21,636987,15352,80.12,0
49,408137,701809,80337,26,72,20,245427,16344,19.68,0
42,1134149,496021,115827,12,79,4,765140,42301,10.21,1
24,947320,695615,468380,67,58,26,978679,14125,49.44,0
40,344454,623936,74264,17,77,15,553268,38491,21.56,1
52,636442,951624,279479,31,73,1,427440,20202,43.91,0
56,454043,500067,253772,22,77,6,279265,43232,55.89,0
24,843198,999192,43773,22,73,14,995470,1709,5.19,0
47,662927,405642,183230,81,64,26,214562,7992,27.64,0
37,820343,866196,290714,90,88,14,925378,34506,35.44,0
32,930070,868902,87995,66,99,10,262703,27354,9.46,0
42,1120947,830448,40658,18,82,7,939385,14233,3.63,1
37,1007827,219573,452400,15,96,23,747813,48460,44.89,0
30,310084,107207,382784,90,83,24,93176,5590,123.45,0
21,1214391,112157,334757,21,71,23,585097,29706,27.57,0
42,545876,184288,320338,55,78,22,658320,14718,58.68,0
46,1229649,727432,198579,18,83,12,349765,23471,16.15,1
38,673006,143778,374016,61,91,24,126440,37486,55.57,0
34,1057692,180016,427175,97,96,19,295241,14105,40.39,0
49,987839,698576,446288,10,59,9,12978,41969,45.18,0
32,273568,218204,176660,61,94,3,145404,6081,64.58,0
56,1307136,160573,433749,8,79,4,357717,49822,33.18,1
55,1164844,170730,370702,15,60,13,242389,43697,31.82,0
32,1397442,985365,251953,78,83,10,264652,27718,18.03,0
27,1399529,114186,68582,96,70,14,811521,21384,4.9,0
49,961058,555349,192815,15,62,6,399694,5545,20.06,0
31,426024,841392,437734,83,74,28,328948,6339,102.75,0
53,1429351,68781,143775,12,70,28,730112,16353,10.06,0
26,1161858,287677,49456,88,50,8,950988,27376,4.26,0
35,291288,307506,55491,63,54,19,987912,29028,19.05,0
52,671678,81126,270187,25,71,29,482760,20100,40.23,0
31,1085733,288217,365356,69,56,10,588306,5302,33.65,0
43,214390,465794,240003,97,62,22,945652,2809,111.95,0
46,697619,565474,330484,28,94,5,137198,29917,47.37,0
54,418547,942466,141248,34,72,5,781170,6830,33.75,0
54,751595,330027,397152,88,70,5,275974,19381,52.84,0
49,427436,604070,31174,61,55,9,917820,49924,7.29,0
24,425121,368531,344776,84,69,29,340638,49637,81.1,0
37,451063,722339,350912,77,61,23,397344,3130,77.8,0
55,1273078,870178,387919,99,89,28,822430,5412,30.47,0
33,428300,311161,108177,21,58,9,863508,11884,25.26,0
59,303920,116266,25909,63,99,15,171749,36564,8.52,0
35,1218056,574344,44158,35,77,9,39101,25132,3.63,1
49,1128252,343601,139438,68,60,29,510234,47775,12.36,0
49,787073,445459,216197,52,81,14,250575,48733,27.47,0
31,800338,498247,185409,27,60,6,392299,23707,23.17,0
52,747026,182773,386440,74,73,22,541341,31478,51.73,0
22,274231,761741,321475,34,64,20,146742,7745,117.23,0
34,273606,755798,261484,59,90,8,905426,46655,95.57,0
40,1475945,385983,243990,11,84,2,646854,38970,16.53,1
42,693896,130636,455413,79,66,5,647939,35323,65.63,0
31,356688,419841,203114,16,74,17,151353,12882,56.94,0
47,695898,116483,444140,64,98,10,224730,12764,63.82,0
23,1216382,70505,422058,56,84,14,63341,25565,34.7,0
37,362403,449769,148530,31,68,18,78069,5443,40.98,0
48,901458,607813,87367,16,90,1,938260,14583,9.69,1
49,1274704,261474,327526,17,80,22,468291,42290,25.69,1
41,1280132,146008,74319,76,66,2,719781,11136,5.81,0
36,1388597,94348,273314,84,99,28,463324,22223,19.68,0
57,776250,776547,119952,66,72,4,337467,21342,15.45,0
40,717200,319417,80145,33,96,13,887042,10876,11.17,1
26,1450854,376380,262139,39,50,16,356482,1746,18.07,0
39,1484519,780929,367770,64,59,5,768740,35952,24.77,0
25,1130220,184607,438158,33,57,23,758218,25330,38.77,0
23,383683,986181,219643,35,91,10,780532,15052,57.25,0
21,1444868,788384,278352,81,75,17,420264,43344,19.26,0
58,732125,157157,166250,80,83,28,717966,33576,22.71,0
35,1429003,575196,210244,65,68,11,806308,29606,14.71,0
54,1426947,302299,140111,6,63,5,461291,32001,9.82,0
55,1136663,251225,14990,37,57,15,112591,10210,1.32,0
45,1103112,158352,137513,76,50,4,253432,16079,12.47,0
44,972291,145967,467437,66,97,7,25171,28154,48.08,0
